Indicator	Total by sea ports, 2023	Total by sea ports, 2024	Total by sea ports, %	Total for state stevedoring companies at sea trade ports at AMPU berths, 2023	Total for state stevedoring companies at sea trading ports at AMPU berths, 2024	Total for state stevedoring companies at sea trade ports at AMPU berths, %	Total for private stevedoring companies at AMPU berths, 2023	Total for private stevedoring companies at AMPU berths, 2024	Total for private stevedoring companies at AMPU berths, %	Total for stevedoring companies at their own berths, 2023	Total for stevedoring companies at their own berths, 2024	Total for stevedoring companies at their own berths, %	Berdyansk seaport, 2023	Berdyansk seaport, 2024	Berdyansk seaport, %	Bilhorod-Dniester Seaport, 2023	Bilhorod-Dniester Seaport, 2024	Bilhorod-Dniester seaport, %	Izmail seaport, 2023	Izmail seaport, 2024	Izmail seaport, %	SE "Izmail MTP", 2023	SE "Izmail MTP", 2024	SE "Izmailsky MTP", %	PJSC "DUNAYSUDNOREMONT", 2023	PJSC "DUNAYSUDNOREMONT", 2024	PJSC "DUNAYSUDNOREMONT", %	PP "GALAKTIKA", 2023	PP "GALAKTIKA", 2024	PP "GALAKTIKA", %	PJSC "IRP "DUNAYSUDNOSERVIS", 2023	PJSC "IRP "DUNAYSUDNOSERVIS", 2024	PJSC "IRP "DUNAYSUDNOSERVIS", %	PJSC "ICKK", 2023	PJSC "ICKK", 2024	PJSC "ITSKK", %	Agrotrans Logistics LLC, 2023	Agrotrans Logistics LLC, 2024	LLC "Agrotrans Logistics", %	LLC "VILLE FORTE Ukraine", 2023	"VILLE FORTE Ukraine" LLC, 2024	LLC "VILLE FORTE Ukraine", %	LLC "E.K.O. GROUP", 2023	LLC "E.K.O. GROUP", 2024	LLC "E.K.O. GROUP", %	TOV "CRANSHIP", 2023	TOV "CRANSHIP", 2024	LLC "CRANSHIP", %	"NIBULON" LLC, 2023	"NIBULON" LLC, 2024	LLC "NIBULON", %	TOV "POTC", 2023	TOV "POTC", 2024	TOV "POTC", %	LLC "SAN LOGISTICS", 2023	LLC "SAN LOGISTICS", 2024	LLC "SAN LOGISTICS", %	LLC "Agency Triton Service Ukraine", 2023	LLC "Agency Triton Service Ukraine", 2024	LLC "Agency Triton Service Ukraine", %	AgroTradeStevidoring LLC, 2023	AgroTradeStevidoring LLC, 2024	"AgroTradeStevidoring" LLC, %	"ECONOVATIKA" LLC, 2023	"ECONOVATIKA" LLC, 2024	"ECONOVATIKA" LLC, %	Dnipro Logistics LLC, 2023	Dnipro Logistics LLC, 2024	Dnipro Logistics LLC, %	LLC "Newenergy", 2023	LLC "Newenergy", 2024	LLC "Newenergy", %	LLC "SP" DUNAISUDNOSERVIS", 2023	LLC "SP" DUNAISUDNOSERVIS", 2024	LLC "SP" DUNAISUDNOSERVIS", %	Mariupol Seaport, 2023	Mariupol Seaport, 2024	Mariupol seaport, %	Mykolaiv Seaport, 2023	Mykolaiv Seaport, 2024	Mykolaiv seaport, %	LLC "DSSK", 2023	LLC "DSSK", 2024	TOV "DSSK", %	Greentour-X LLC, 2023	Greentour-X LLC, 2024	"Greentour-Ex" LLC, %	"Nikmorservice-Nikolaev" LLC, 2023	"Nikmorservice-Nikolaev" LLC, 2024	"Nikmorservice-Nikolaev" LLC, %	Stevidorna Investment Company LLC, 2023	Stevidorna Investment Company LLC, 2024	Stevidorna Investment Company LLC, %	Odesa Seaport, 2023	Odesa Seaport, 2024	Odesa seaport, %	DP "KTO", 2023	DP "KTO", 2024	DP "KTO", %	SE Prista Oil Ukraine, 2023
ВСЬОГО ВАНТАЖІВ	17,121.44	28,060.32	163.9	3,355.77	6,586.04	196.3	8,680.31	12,700.51	146.3	5,085.36	8,352.19	164.2							4,181.49	3,889.29	93.0	1,749.79	1,447.71	82.7	861.17	950.08	110.3	53.93	18.14	33.6	537.08			50.25			40.06	49.51	123.6	31.36	29.60	94.4	153.51	45.28	29.5	81.68	16.91	20.7	428.88	598.71	139.6		64.22			40.59		90.75	44.20	48.7		32.47			3.22			13.16		103.03	117.13	113.7		418.36					53.28	260.37	488.7	32.14	3.15	9.8	21.14	243.72	1,152.9		1.20			12.30		3,153.92	5,343.61	169.4	51.56	74.44	144.4	6.00
НАЛИВНІ	1,640.64	2,051.47	125.0	568.02	376.14	66.2	420.45	929.40	221.1	652.17	433.49	66.5							792.14	818.82	103.4	393.36	301.08	76.5	2.32	92.19	3,973.7				293.80						1.95	14.11	723.6	9.96	29.60	297.2														17.05		90.75	44.20	48.7					3.22			2.95			5.20			309.22					4.64	116.81	2,517.5				4.64	116.81	2,517.5							39.23	192.46	490.6				6.00
Нафта																																																																																																				
Нафтопродукти	594.84	560.49	94.2	345.62	201.77	58.4	104.37	75.67	72.5	144.85	100.07	69.1							382.77	494.21	129.1	237.92	197.67	83.1	0.69	57.35	8,311.6				53.41										10.03															17.05		90.75	26.18	28.9					3.22			2.95						179.76																										
Олія	1,026.10	1,447.30	141.1	214.29	172.37	80.4	306.12	830.07	271.2	505.69	315.40	62.4							393.80	287.02	72.9	151.46	103.41	68.3		34.84					240.39						1.95	14.11	723.6																																5.20			129.46					4.64	116.59	2,512.7				4.64	116.59	2,512.7							39.23	192.46	490.6				6.00
Хімічні	15.57	43.46	279.1	3.98	2.00	50.3	9.96	23.44	235.3	1.63	18.02	1,105.5							15.57	37.59	241.4	3.98			1.63															9.96	19.57	196.5																	18.02																																									
Інші наливні вантажі	4.13	0.22	5.3	4.13				0.22																																																																								0.22						0.22														
СУХОВАНТАЖНІ СИПУЧІ	14,591.57	24,564.04	168.3	2,008.20	5,668.36	282.3	8,221.57	11,093.09	134.9	4,361.80	7,693.45	176.4							2,860.06	2,748.54	96.1	900.35	898.64	99.8	826.68	845.76	102.3	53.93	17.55	32.5	243.28			32.63			38.11	35.40	92.9	21.40			153.51	22.25	14.5	81.68	16.91	20.7	428.88	598.71	139.6		58.06			23.54						32.47						8.22		79.61	81.89	102.9		109.14					48.64	142.36	292.7	32.14	3.15	9.8	16.50	126.91	769.2					12.30		3,114.69	4,596.95	147.6	51.56	52.73	102.3	
Вугілля	89.07	129.42	145.3	89.07	0.76	0.9					128.66								89.07			89.07																																																																														
в т.ч. імпортне енергетичне вугілля																																																																																																				
Кокс																																																																																																				
Руда всяка	223.74	5,812.62	2,597.9	223.74	3,653.03	1,632.7					2,159.59								223.74	427.20	190.9	223.74	427.20	190.9																																																																												
Будівельні	85.30	220.51	258.5	77.60	166.21	214.2				7.70	54.30	705.2							85.30	103.83	121.7	77.60	103.83	133.8	7.70																																																																											
Цемент																																																																																																				
Хімічні, мінеральні добрива	71.25	189.07	265.4	37.20	40.81	109.7	34.05	108.21	317.8		40.05								28.40	75.92	267.3	28.40	24.85	87.5														8.50															42.57																																															
Цукор																																																																																																				
Хлібні - всього	12,227.80	15,553.58	127.2	1,012.69	1,254.84	123.9	7,443.52	9,628.51	129.4	3,771.59	4,569.87	121.2							1,990.23	1,798.41	90.4	315.45	238.45	75.6	660.59	722.17	109.3	53.93	17.55	32.5	206.74			32.63			16.57	23.50	141.8	21.40			147.05	14.30	9.7	75.20	2.85	3.8	414.83	567.03	136.7		13.47			21.24						18.85						4.21		45.84	54.43	118.7		100.36					32.14	16.05	49.9	32.14	3.15	9.8		0.60						12.30		2,868.90	4,019.62	140.1	41.13	50.87	123.7	
з них зерно	10,237.57	13,515.82	132.0	697.24	1,016.39	145.8	7,318.99	9,529.67	130.2	2,221.34	2,969.76	133.7																																																																			32.14	16.05	49.9	32.14	3.15	9.8		0.60						12.30		2,868.90	4,019.60	140.1	41.13	50.87	123.7	
Інші сипучі вантажі	1,894.41	2,658.84	140.4	567.90	552.71	97.3	744.00	1,356.37	182.3	582.51	740.98	127.2							443.32	343.18	77.4	166.09	104.31	62.8	158.39	123.59	78.0				36.54						21.54	3.40	15.8				6.46	7.95	123.1	6.48	14.06	217.0	14.05	31.68	225.5		2.02			2.30						13.62						4.01		33.77	27.46	81.3		8.78					16.50	126.31	765.5				16.50	126.31	765.5							245.79	577.33	234.9	10.43	1.86	17.8	
ТАРНО-ШТУЧНІ ВАНТАЖІ	889.23	1,444.81	162.5	779.55	541.54	69.5	38.29	678.02	1,770.8	71.39	225.25	315.5							529.29	321.93	60.8	456.08	247.99	54.4	32.17	12.13	37.7		0.59					17.62										23.03									6.16															1.99		23.42	30.04	128.3								1.20									1.20						554.20			21.71		
Автотехніка й сільгосптехніка																																																																																																				
Лісні вантажі																																																																																																				
Чорні метали - всього	364.84	768.89	210.8	345.92	283.67	82.0	16.05	467.56	2,913.2	2.87	17.66	615.3							332.72	174.71	52.5	320.54	174.71	54.5										12.18																																														1.20									1.20						458.29			2.02		
з них - чавун	107.45	180.47	168.0	107.45	94.35	87.8		86.12											107.45	0.97	0.9	107.45	0.97	0.9																																																																							86.12					
- металопрокат	226.58	176.96	78.1	222.01	175.12	78.9	1.70	0.60	35.3	2.87	1.24	43.2							201.19	167.77	83.4	201.19	167.77	83.4																																																								0.60									0.60											
- брухт	2.17	3.20	147.5		3.20		2.17													3.20			3.20																																																																													
- інші вантажі чорних металів	28.64	408.26	1,425.5	16.46	11.00	66.8	12.18	380.84	3,126.8		16.42								24.08	2.77	11.5	11.90	2.77	23.3										12.18																																														0.60									0.60						372.17			2.02		
Кольорові метали - всього																																																																																																				
з них - прокат																																																																																																				
- брухт																																																																																																				
- інші вантажі кол.металів																																																																																																				
Папір																																																																																																				
Бавовна,льон та ін.вол.вантажі																																																																																																				
Хім.та мін. добрива	189.60	224.49	118.4	115.28	56.03	48.6	22.19	36.50	164.5	52.13	131.96	253.1							106.23	84.89	79.9	58.83	38.98	66.3	18.54	4.29	23.1		0.59					5.44										23.03									6.16															1.99		23.42	9.85	42.1																												
Цемент в тарі																																																																																																				
Пром.товари в ящиках і кіпах		6.87						6.87																																																																																												
Нафтопродукти в тарі																																																																																																				
Продовольчі вантажі   - всього	22.82	28.46	124.7	20.13	5.08	25.2		12.25		2.69	11.13	413.8																																																																																								
з них - швидкопсовні вантажі	8.71	0.99	11.4	8.71							0.99																																																																																									
Контейнери(тонн)	213.85	227.17	106.2	213.85	156.41	73.1		70.76																																																																																												
Контейнери(шт)	11,383	11,595	101.9	11,383	7,750	68.1		3,845																																																																																												
Контейнери(теu)	15,144.00	20,476.00	135.2	15,144.00	14,987.00	99.0		5,489.00											1,104.00	4,151.00	376.0	1,104.00	4,151.00	376.0																																																																												
Автомобілі великовантажні (тонн)																																																																																																				
Автомобілі великовантажні (шт)																																																																																																				
Інші тарно-штучні вантажі	98.12	188.93	192.6	84.37	40.35	47.8	0.05	84.08	168,160.0	13.70	64.50	470.8							90.34	62.33	69.0	76.71	34.30	44.7	13.63	7.84	57.5																																												20.19																								95.91			19.69		
